# number of linear weak zones
19
#nb	dgammadot0	x1	x2	x3	length	width	thickness	strike	dip
   1	  0.0000000000	   -206873	   -119226	     30000	    700000	     10000	     18000	   90	   90
   2	  0.0000000000	   -190419	   -106971	     30000	    700000	     10000	     18000	   90	   90
   3	  0.0000000000	   -173948	    -94761	     30000	    700000	     10000	     18000	   90	   90
   4	  0.0000000000	   -156742	    -83532	     30000	    700000	     10000	     18000	   90	   90
   5	  0.0000000000	   -136136	    -76766	     30000	    700000	     10000	     18000	   90	   90
   6	  0.0000000000	   -115524	    -70030	     30000	    700000	     10000	     18000	   90	   90
   7	  0.0000000000	    -94907	    -63324	     30000	    700000	     10000	     18000	   90	   90
   8	  0.0000000000	    -74285	    -56648	     30000	    700000	     10000	     18000	   90	   90
   9	  0.0000000000	    -53574	    -50382	     30000	    700000	     10000	     18000	   90	   90
  10	  0.0000000000	    -31387	    -50806	     30000	    700000	     10000	     18000	   90	   90
  11	  0.0000000000	     -9199	    -51226	     30000	    700000	     10000	     18000	   90	   90
  12	  0.0000000000	     12989	    -51643	     30000	    700000	     10000	     18000	   90	   90
  13	  0.0000000000	     35179	    -52056	     30000	    700000	     10000	     18000	   90	   90
  14	  0.0000000000	     57370	    -52466	     30000	    700000	     10000	     18000	   90	   90
  15	  0.0000000000	     79561	    -52872	     30000	    700000	     10000	     18000	   90	   90
  16	  0.0000000000	     92989	    146204	     30000	    700000	     10000	     18000	   90	   90
  17	  0.0000000000	    112647	    196310	     30000	    700000	     10000	     18000	   90	   90
  18	  0.0000000000	    132622	    246175	     30000	    700000	     10000	     18000	   90	   90
  19	  0.0000000000	    152917	    295795	     30000	    700000	     10000	     18000	   90	   90
